V1	Nodes	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership
347	DRS2	5992.3251457234	58	Hub-Bottleneck	HB	6
348	DSK2	1929.55813337849	40	Hub-Bottleneck	HB	4
349	DSN1	1538.9399887028	28	Hub-Non-Bottleneck	HNB	7
350	DSS1	418.200125953551	11	Non-Hub-Non-Bottleneck	NHNB	8
351	DST1	1844.30998652543	56	Hub-Bottleneck	HB	14
352	DUG1	566.295479768645	13	Non-Hub-Non-Bottleneck	NHNB	2
353	DUN1	1931.66280980527	34	Hub-Bottleneck	HB	14
354	DUR1,2	1377.78177654075	17	Non-Hub-Non-Bottleneck	NHNB	4
355	DYN1	1502.19759314665	24	Non-Hub-Non-Bottleneck	NHNB	4
356	DYN2	1872.16190292639	29	Hub-Bottleneck	HB	6
357	ECM10	200.073240659307	9	Non-Hub-Non-Bottleneck	NHNB	3
358	ECM21	131.647451606384	6	Non-Hub-Non-Bottleneck	NHNB	4
359	ECM22	153.098380068812	5	Non-Hub-Non-Bottleneck	NHNB	4
360	ECM38	426.214664374783	15	Non-Hub-Non-Bottleneck	NHNB	24
361	EDC3	388.87098916633	18	Non-Hub-Non-Bottleneck	NHNB	8
362	EDE1	1156.55233541013	19	Non-Hub-Non-Bottleneck	NHNB	4
363	EEB1	0	1	Non-Hub-Non-Bottleneck	NHNB	35
364	EFB1	596.458872180104	13	Non-Hub-Non-Bottleneck	NHNB	4
