Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
YBR218C	PYC2	1.51	0.07	1.56	0.08	0.0000	0.0000	0.0000	0.0000	0.0001
YBR220C	YBR220C	0.80	0.06	0.77	0.10	0.0018	0.0030	0.0011	0.0098	0.0030
YBR221C	PDB1	1.18	0.04	1.36	0.07	0.0002	0.0007	0.0004	0.0001	0.0001
YBR222C	PCS60	1.26	0.10	2.42	0.20	0.0000	0.0026	0.0010	0.0000	0.0000
YBR225W	YBR225W	1.04	0.30	1.96	0.50	0.0013	0.9767	0.1577	0.0073	0.0023
YBR227C	MCX1	0.90	0.12	0.77	0.08	0.0035	0.1338	0.0278	0.0052	0.0018
YBR229C	ROT2	0.98	0.08	0.98	0.12	0.8519	0.6363	0.1094	0.7077	0.1202
YBR230C	OM14	1.65	0.14	7.79	0.56	0.0000	0.0002	0.0001	0.0000	0.0000
YBR233W	PBP2	0.52	0.19	0.67	0.27	0.0104	0.0090	0.0028	0.0530	0.0124
YBR233W-A	DAD3	1.17	0.40	1.40	0.39	0.0073	0.4997	0.0888	0.0749	0.0168
YBR234C	ARC40	1.17	0.11	1.40	0.12	0.0015	0.0207	0.0056	0.0011	0.0005
YBR236C	ABD1	0.96	0.14	0.91	0.10	0.1652	0.5047	0.0895	0.1344	0.0280
YBR237W	PRP5	1.74	0.39	5.13	0.62	0.0000	0.0074	0.0024	0.0000	0.0000
YBR241C	YBR241C	1.84	0.18	2.88	0.58	0.0001	0.0002	0.0001	0.0002	0.0002
YBR242W	YBR242W	0.27	0.10	0.09	0.04	0.0005	0.0010	0.0005	0.0003	0.0002
YBR243C	ALG7	0.88	0.21	1.03	0.23	0.1046	0.2305	0.0449	0.8968	0.1469
YBR244W	GPX2	1.02	0.06	0.77	0.04	0.0002	0.4510	0.0810	0.0004	0.0003
YBR245C	ISW1	0.81	0.02	0.74	0.08	0.0002	0.0001	0.0001	0.0027	0.0011
YBR247C	ENP1	0.45	0.02	0.37	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YBR248C	HIS7	1.22	0.11	1.15	0.09	0.0100	0.0081	0.0026	0.0185	0.0051
YBR249C	ARO4	0.67	0.07	0.72	0.07	0.0007	0.0008	0.0004	0.0015	0.0007
YBR251W	MRPS5	1.30	0.14	1.86	0.12	0.0001	0.0061	0.0020	0.0000	0.0000
YBR252W	DUT1	0.79	0.07	0.79	0.05	0.0015	0.0040	0.0014	0.0009	0.0005
YBR254C	TRS20	0.76	0.07	0.75	0.09	0.0028	0.0026	0.0010	0.0066	0.0022
YBR255C-A	YBR255C-A	1.26	0.33	2.29	0.38	0.0003	0.1759	0.0354	0.0006	0.0003
YBR255W	MTC4	1.14	0.16	1.32	0.13	0.0056	0.1097	0.0234	0.0035	0.0013
YBR256C	RIB5	1.33	0.03	1.85	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YBR260C	RGD1	0.86	0.06	1.01	0.12	0.0134	0.0092	0.0029	0.9641	0.1560
YBR261C	TAE1	0.80	0.09	0.74	0.12	0.0110	0.0102	0.0031	0.0124	0.0036
YBR262C	AIM5	1.61	0.17	4.30	0.33	0.0000	0.0006	0.0003	0.0000	0.0000
YBR263W	SHM1	0.89	0.07	0.86	0.07	0.0074	0.0248	0.0065	0.0096	0.0030
YBR264C	YPT10	0.85	0.20	0.97	0.09	0.1920	0.1234	0.0260	0.5168	0.0914
YBR265W	TSC10	0.40	0.05	0.27	0.02	0.0000	0.0001	0.0001	0.0000	0.0000
YBR267W	REI1	0.28	0.01	0.20	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YBR268W	MRPL37	1.23	0.27	1.82	0.39	0.0027	0.1199	0.0253	0.0031	0.0012
YBR269C	FMP21	2.80	0.39	8.13	1.09	0.0000	0.0001	0.0001	0.0000	0.0000
YBR271W	YBR271W	0.39	0.15	0.44	0.05	0.0001	0.0024	0.0010	0.0001	0.0001
YBR272C	HSM3	1.07	0.51	1.00	0.45	0.9065	0.8831	0.1450	0.7088	0.1203
YBR274W	CHK1	0.19	0.05	0.19	0.11	0.0002	0.0001	0.0001	0.0022	0.0009
YBR275C	RIF1	0.62	0.06	0.67	0.03	0.0000	0.0004	0.0003	0.0000	0.0001
YBR279W	PAF1	1.00	0.07	1.09	0.08	0.0874	0.9529	0.1545	0.0579	0.0134
YBR281C	DUG2	1.03	0.12	1.09	0.09	0.0169	0.7200	0.1219	0.0809	0.0180
YBR282W	MRPL27	2.97	2.51	7.88	4.04	0.0217	0.1461	0.0301	0.0130	0.0038
YBR283C	SSH1	0.78	0.06	0.75	0.05	0.0010	0.0023	0.0009	0.0008	0.0004
YBR285W	YBR285W	111.94	115.77	279.90	282.46	0.0011	0.0007	0.0004	0.0007	0.0004
YBR286W	APE3	1.25	0.09	1.33	0.10	0.0021	0.0025	0.0010	0.0013	0.0006
YBR287W	YBR287W	2.19	0.39	1.81	0.25	0.0000	0.0006	0.0003	0.0009	0.0004
YBR288C	APM3	0.99	0.10	0.91	0.05	0.0296	0.7389	0.1246	0.0183	0.0050
YBR290W	BSD2	0.51	0.06	0.54	0.08	0.0004	0.0003	0.0002	0.0007	0.0004
YBR291C	CTP1	0.83	0.13	0.84	0.17	0.0736	0.0453	0.0108	0.1048	0.0225
YBR296C	PHO89	1.41	0.43	11.23	2.01	0.0000	0.1250	0.0263	0.0000	0.0000
YCL001W	RER1	0.87	0.10	0.87	0.09	0.0530	0.0496	0.0117	0.0350	0.0087
YCL009C	ILV6	0.86	0.04	1.07	0.07	0.0010	0.0013	0.0006	0.0891	0.0195
YCL011C	GBP2	1.06	0.08	0.94	0.06	0.0547	0.1983	0.0394	0.0812	0.0180
YCL012C	YCL012C	0.96	0.06	1.14	0.11	0.0699	0.2525	0.0488	0.0460	0.0110
YCL014W	BUD3	0.89	0.06	0.77	0.10	0.0177	0.0110	0.0033	0.0111	0.0033
YCL016C	DCC1	0.51	0.08	0.50	0.07	0.0002	0.0005	0.0003	0.0004	0.0002
YCL017C	NFS1	1.19	0.23	1.45	0.18	0.0025	0.1320	0.0275	0.0038	0.0014
YCL020W	YCL020W	0.21	0.02	0.12	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YCL024W	KCC4	0.72	0.09	1.03	0.24	0.0012	0.0033	0.0012	0.9457	0.1536
YCL025C	AGP1	1.96	0.28	4.39	0.75	0.0001	0.0004	0.0003	0.0001	0.0001
YCL026C-B	HBN1	2.58	0.67	4.47	1.41	0.0004	0.0009	0.0005	0.0004	0.0002
YCL028W	RNQ1	1.25	0.11	1.46	0.17	0.0032	0.0055	0.0019	0.0021	0.0009
YCL030C	HIS4	1.63	0.05	1.40	0.09	0.0000	0.0000	0.0000	0.0004	0.0002
YCL031C	RRP7	0.63	0.05	0.52	0.07	0.0001	0.0001	0.0001	0.0003	0.0002
YCL032W	STE50	1.02	0.30	1.56	0.65	0.0679	0.8767	0.1441	0.1355	0.0282
YCL033C	MXR2	1.15	0.14	1.53	0.17	0.0006	0.0868	0.0191	0.0010	0.0005
YCL034W	LSB5	1.26	0.07	1.27	0.15	0.0008	0.0007	0.0004	0.0099	0.0030
YCL035C	GRX1	2.51	0.26	3.09	0.42	0.0001	0.0000	0.0001	0.0000	0.0001
YCL037C	SRO9	0.55	0.02	0.35	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YCL038C	ATG22	1.36	0.11	2.08	0.32	0.0007	0.0014	0.0006	0.0004	0.0003
YCL039W	GID7	1.44	0.23	2.19	0.16	0.0000	0.0101	0.0031	0.0000	0.0000
YCL040W	GLK1	4.21	0.20	6.52	0.44	0.0000	0.0000	0.0000	0.0000	0.0000
YCL043C	PDI1	1.27	0.19	1.20	0.11	0.0075	0.0211	0.0057	0.0106	0.0032
YCL044C	MGR1	1.00	0.16	1.14	0.09	0.0173	0.8685	0.1429	0.0265	0.0069
YCL045C	EMC1	1.04	0.03	0.99	0.05	0.0526	0.0459	0.0110	0.7833	0.1310
YCL047C	POF1	1.01	0.34	1.03	0.22	0.6499	0.8355	0.1384	0.8955	0.1467
YCL050C	APA1	0.89	0.07	0.73	0.07	0.0024	0.0259	0.0067	0.0015	0.0007
YCL051W	LRE1	1.12	0.14	1.15	0.11	0.0637	0.1303	0.0272	0.0387	0.0095
YCL054W	SPB1	0.47	0.03	0.42	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YCL057C-A	YCL057C-A	1.33	0.68	2.41	0.57	0.0007	0.4714	0.0843	0.0020	0.0008
YCL057W	PRD1	1.24	0.10	1.29	0.15	0.0080	0.0047	0.0016	0.0089	0.0028
YCL059C	KRR1	0.96	0.19	0.98	0.20	0.7914	0.6132	0.1059	0.7396	0.1247
YCL061C	MRC1	0.43	0.10	0.46	0.12	0.0029	0.0019	0.0008	0.0025	0.0010
YCL064C	CHA1	0.25	0.02	0.27	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YCR002C	CDC10	0.91	0.08	1.10	0.02	0.0001	0.0625	0.0143	0.0001	0.0001
YCR003W	MRPL32	1.42	0.11	2.17	0.32	0.0004	0.0005	0.0003	0.0003	0.0002
YCR004C	YCP4	1.67	0.19	2.07	0.13	0.0000	0.0005	0.0003	0.0000	0.0000
YCR005C	CIT2	3.47	0.21	9.75	1.52	0.0000	0.0000	0.0000	0.0000	0.0000
YCR008W	SAT4	0.39	0.08	0.43	0.18	0.0006	0.0005	0.0003	0.0171	0.0048
YCR009C	RVS161	1.34	0.16	1.33	0.10	0.0006	0.0062	0.0021	0.0010	0.0005
YCR010C	ADY2	1.11	0.17	26.77	3.29	0.0000	0.2176	0.0427	0.0000	0.0000
YCR011C	ADP1	1.03	0.08	1.42	0.16	0.0040	0.4319	0.0781	0.0024	0.0010
YCR012W	PGK1	1.20	0.14	1.10	0.07	0.0276	0.0288	0.0074	0.0334	0.0084
YCR015C	YCR015C	0.89	0.30	1.59	0.28	0.0022	0.3303	0.0618	0.0048	0.0017
YCR016W	YCR016W	0.54	0.03	0.46	0.05	0.0000	0.0000	0.0000	0.0001	0.0001
YCR017C	CWH43	1.07	0.11	1.13	0.15	0.0630	0.2554	0.0493	0.1112	0.0237
YCR020C	PET18	7.22	0.70	6.18	0.53	0.0000	0.0000	0.0000	0.0000	0.0000
YCR020W-B	HTL1	0.90	0.15	1.07	0.13	0.0084	0.2145	0.0422	0.3239	0.0608
YCR021C	HSP30	25.02	1.08	23.99	3.51	0.0000	0.0000	0.0000	0.0000	0.0000
YCR023C	YCR023C	0.91	0.12	1.21	0.36	0.0448	0.1575	0.0322	0.2917	0.0553
YCR026C	NPP1	0.88	0.13	0.83	0.16	0.0079	0.1032	0.0222	0.0900	0.0197
YCR027C	RHB1	1.08	0.15	1.63	0.27	0.0012	0.3818	0.0701	0.0036	0.0013
YCR028C-A	RIM1	1.32	0.14	1.92	0.17	0.0001	0.0047	0.0016	0.0001	0.0001
YCR030C	SYP1	1.48	0.11	1.77	0.13	0.0001	0.0004	0.0002	0.0001	0.0001
YCR031C	RPS14A	0.69	0.09	0.58	0.02	0.0000	0.0029	0.0011	0.0000	0.0000
YCR033W	SNT1	0.94	0.08	1.91	0.21	0.0000	0.1547	0.0317	0.0002	0.0001
YCR035C	RRP43	0.59	0.02	0.61	0.05	0.0000	0.0000	0.0000	0.0001	0.0001
YCR036W	RBK1	1.18	0.14	1.41	0.16	0.0015	0.0461	0.0110	0.0032	0.0012
YCR042C	TAF2	0.95	0.05	0.96	0.16	0.1688	0.1027	0.0221	0.4722	0.0844
YCR043C	YCR043C	0.60	0.30	0.53	0.27	0.0430	0.0490	0.0116	0.0456	0.0109
YCR046C	IMG1	1.18	0.12	1.89	0.23	0.0002	0.0240	0.0063	0.0003	0.0002
YCR047C	BUD23	0.47	0.02	0.45	0.05	0.0000	0.0000	0.0000	0.0001	0.0001
YCR048W	ARE1	0.41	0.03	0.50	0.07	0.0000	0.0000	0.0000	0.0003	0.0002
YCR051W	YCR051W	0.57	0.05	0.61	0.08	0.0002	0.0001	0.0001	0.0011	0.0005
YCR052W	RSC6	0.76	0.06	0.75	0.04	0.0001	0.0016	0.0007	0.0003	0.0002
YCR053W	THR4	0.94	0.04	0.83	0.09	0.0192	0.0419	0.0102	0.0118	0.0035
YCR054C	CTR86	0.69	0.04	0.73	0.07	0.0002	0.0001	0.0001	0.0021	0.0009
YCR057C	PWP2	0.49	0.05	0.45	0.06	0.0001	0.0001	0.0001	0.0002	0.0002
YCR059C	YIH1	0.85	0.30	1.15	0.46	0.3000	0.2150	0.0423	0.7206	0.1220
YCR060W	TAH1	0.58	0.11	0.73	0.10	0.0054	0.0036	0.0013	0.0047	0.0016
YCR061W	YCR061W	0.58	0.06	0.22	0.05	0.0000	0.0003	0.0002	0.0001	0.0001
YCR063W	BUD31	0.73	0.09	1.19	0.32	0.0003	0.0032	0.0012	0.3009	0.0569
YCR067C	SED4	1.27	0.09	1.41	0.20	0.0017	0.0015	0.0007	0.0056	0.0019
YCR068W	ATG15	0.97	0.15	2.82	0.59	0.0005	0.5929	0.1030	0.0003	0.0002
YCR069W	CPR4	0.07	0.02	0.10	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YCR071C	IMG2	1.30	0.29	1.67	0.36	0.0003	0.0562	0.0131	0.0056	0.0019
YCR072C	RSA4	0.38	0.06	0.36	0.05	0.0001	0.0002	0.0001	0.0001	0.0001
YCR073W-A	SOL2	1.25	0.06	1.42	0.05	0.0000	0.0006	0.0003	0.0000	0.0000
YCR077C	PAT1	1.14	0.15	1.20	0.10	0.0119	0.1164	0.0247	0.0070	0.0023
YCR081W	SRB8	0.57	0.11	0.59	0.08	0.0013	0.0024	0.0010	0.0008	0.0004
YCR083W	TRX3	1.21	0.11	2.38	0.36	0.0002	0.0107	0.0032	0.0003	0.0002
YCR084C	TUP1	0.96	0.09	1.00	0.03	0.5881	0.3802	0.0699	0.7396	0.1247
YCR087C-A	YCR087C-A	0.26	0.04	0.23	0.06	0.0001	0.0000	0.0001	0.0002	0.0002
YCR088W	ABP1	1.72	0.08	1.72	0.13	0.0000	0.0000	0.0000	0.0001	0.0001
YCR090C	YCR090C	0.85	0.02	0.96	0.07	0.0001	0.0000	0.0001	0.2593	0.0500
YCR092C	MSH3	0.57	0.13	0.57	0.08	0.0007	0.0052	0.0018	0.0006	0.0003
YCR093W	CDC39	0.83	0.15	0.69	0.09	0.0033	0.0641	0.0147	0.0036	0.0013
YCR094W	CDC50	0.59	0.33	0.50	0.23	0.0233	0.0509	0.0120	0.0207	0.0056
YCR095C	OCA4	0.97	0.10	1.09	0.20	0.2145	0.5071	0.0899	0.3727	0.0686
YDL001W	RMD1	0.89	0.20	1.25	0.19	0.0099	0.2224	0.0436	0.0369	0.0091
YDL002C	NHP10	1.22	0.21	1.39	0.15	0.0021	0.0620	0.0142	0.0027	0.0010
YDL003W	MCD1	0.38	0.06	0.39	0.03	0.0000	0.0002	0.0002	0.0000	0.0000
YDL004W	ATP16	1.89	0.17	5.24	0.41	0.0000	0.0001	0.0001	0.0000	0.0000
YDL005C	MED2	0.59	0.06	0.71	0.19	0.0006	0.0003	0.0002	0.0375	0.0093
YDL006W	PTC1	0.83	0.05	1.14	0.09	0.0005	0.0021	0.0009	0.0207	0.0056
YDL007W	RPT2	0.97	0.07	0.99	0.07	0.4704	0.3289	0.0615	0.7751	0.1299
YDL010W	GRX6	0.60	0.05	0.67	0.09	0.0001	0.0002	0.0001	0.0025	0.0010
YDL014W	NOP1	0.61	0.03	0.50	0.04	0.0000	0.0000	0.0001	0.0001	0.0001
YDL015C	TSC13	1.13	0.13	1.17	0.14	0.0125	0.0760	0.0170	0.0405	0.0099
YDL018C	ERP3	1.01	0.06	1.07	0.11	0.4251	0.7919	0.1323	0.2640	0.0507
YDL019C	OSH2	1.47	0.16	1.81	0.18	0.0001	0.0012	0.0005	0.0002	0.0002
YDL021W	GPM2	4.92	0.13	7.57	0.80	0.0000	0.0000	0.0000	0.0000	0.0000
YDL022W	GPD1	2.23	0.23	2.52	0.27	0.0001	0.0001	0.0001	0.0000	0.0001
YDL025C	RTK1	3.40	0.45	4.10	0.42	0.0000	0.0000	0.0000	0.0000	0.0000
YDL029W	ARP2	1.42	0.14	1.49	0.11	0.0005	0.0013	0.0006	0.0003	0.0002
YDL030W	PRP9	0.68	0.07	0.95	0.09	0.0018	0.0011	0.0005	0.2540	0.0490
YDL031W	DBP10	0.73	0.07	1.24	0.08	0.0001	0.0017	0.0007	0.0017	0.0007
YDL035C	GPR1	1.27	0.51	2.55	0.74	0.0006	0.4295	0.0777	0.0022	0.0009
YDL040C	NAT1	0.96	0.04	0.88	0.09	0.0136	0.0686	0.0156	0.0455	0.0109
YDL044C	MTF2	1.24	0.05	2.10	0.12	0.0000	0.0004	0.0002	0.0000	0.0000
YDL045C	FAD1	1.08	0.07	1.38	0.19	0.0102	0.0556	0.0130	0.0089	0.0028
YDL045W-A	MRP10	1.14	0.16	1.76	0.16	0.0002	0.1453	0.0300	0.0002	0.0001
YDL046W	NPC2	1.25	0.24	1.97	0.29	0.0001	0.0579	0.0134	0.0006	0.0003
YDL047W	SIT4	1.01	0.03	1.28	0.12	0.0090	0.3467	0.0644	0.0053	0.0018
YDL051W	LHP1	0.55	0.06	0.50	0.06	0.0002	0.0003	0.0002	0.0001	0.0001
YDL052C	SLC1	0.92	0.07	0.89	0.05	0.0136	0.0600	0.0138	0.0079	0.0025
YDL053C	PBP4	0.93	0.08	0.68	0.05	0.0003	0.1020	0.0220	0.0003	0.0002
YDL054C	MCH1	0.34	0.10	0.23	0.02	0.0000	0.0009	0.0005	0.0000	0.0000
YDL055C	PSA1	1.01	0.08	1.07	0.06	0.0252	0.7963	0.1328	0.0433	0.0105
YDL056W	MBP1	0.82	0.03	0.95	0.12	0.0001	0.0002	0.0002	0.3795	0.0698
YDL057W	YDL057W	1.11	0.08	1.52	0.16	0.0015	0.0328	0.0083	0.0010	0.0005
YDL058W	USO1	0.92	0.05	0.85	0.10	0.0256	0.0328	0.0083	0.0361	0.0090
YDL060W	TSR1	0.47	0.02	0.37	0.05	0.0000	0.0000	0.0000	0.0001	0.0001
YDL061C	RPS29B	0.66	0.10	0.51	0.08	0.0007	0.0027	0.0010	0.0007	0.0004
YDL063C	YDL063C	0.38	0.04	0.36	0.06	0.0001	0.0000	0.0001	0.0002	0.0001
YDL064W	UBC9	0.82	0.11	0.85	0.07	0.0216	0.0347	0.0087	0.0137	0.0040
YDL065C	PEX19	1.03	0.06	1.47	0.14	0.0001	0.3109	0.0585	0.0010	0.0005
YDL066W	IDP1	1.17	0.09	1.35	0.11	0.0020	0.0115	0.0034	0.0012	0.0005
YDL067C	COX9	2.86	0.37	9.74	1.40	0.0000	0.0001	0.0001	0.0000	0.0000
YDL070W	BDF2	0.14	0.02	0.11	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YDL072C	YET3	1.54	0.05	1.64	0.27	0.0000	0.0000	0.0000	0.0025	0.0010
YDL074C	BRE1	0.73	0.04	0.75	0.06	0.0004	0.0002	0.0002	0.0010	0.0005
YDL075W	RPL31A	0.72	0.09	0.70	0.07	0.0020	0.0034	0.0012	0.0012	0.0006
YDL076C	RXT3	0.94	0.65	0.92	0.15	0.3111	0.4443	0.0800	0.2531	0.0489
YDL077C	VAM6	1.12	0.11	1.31	0.07	0.0000	0.0663	0.0151	0.0005	0.0003
YDL078C	MDH3	1.08	0.08	1.63	0.18	0.0005	0.0692	0.0157	0.0006	0.0003
YDL080C	THI3	1.24	0.22	0.74	0.24	0.0461	0.0640	0.0146	0.0912	0.0199
YDL081C	RPP1A	0.84	0.24	0.61	0.15	0.0036	0.1739	0.0351	0.0064	0.0021
YDL082W	RPL13A	0.66	0.17	0.51	0.17	0.0109	0.0157	0.0044	0.0069	0.0022
YDL083C	RPS16B	0.68	0.07	0.55	0.03	0.0000	0.0010	0.0005	0.0000	0.0000
YDL084W	SUB2	0.94	0.12	0.90	0.06	0.0593	0.2839	0.0540	0.0349	0.0087
YDL085W	NDE2	0.84	0.20	33.69	7.03	0.0000	0.1303	0.0272	0.0000	0.0000
YDL086W	YDL086W	1.20	0.08	1.43	0.11	0.0004	0.0032	0.0012	0.0005	0.0003
YDL087C	LUC7	0.52	0.20	0.76	0.47	0.0397	0.0232	0.0062	0.1700	0.0344
YDL088C	ASM4	0.75	0.08	0.97	0.13	0.0006	0.0032	0.0012	0.5850	0.1018
YDL089W	NUR1	1.08	0.13	1.30	0.29	0.1202	0.2283	0.0445	0.0750	0.0168
YDL090C	RAM1	0.75	0.12	0.93	0.21	0.0194	0.0157	0.0044	0.4237	0.0768
YDL091C	UBX3	2.70	0.69	3.05	0.71	0.0006	0.0015	0.0006	0.0004	0.0002
YDL092W	SRP14	0.66	0.05	0.64	0.05	0.0002	0.0002	0.0001	0.0002	0.0001
YDL093W	PMT5	1.19	0.22	1.40	0.42	0.1679	0.1200	0.0253	0.1071	0.0229
YDL095W	PMT1	0.92	0.05	0.89	0.07	0.0147	0.0250	0.0065	0.0290	0.0074
YDL097C	RPN6	0.92	0.04	1.00	0.05	0.0021	0.0109	0.0033	0.8939	0.1465
YDL098C	SNU23	0.74	0.19	0.77	0.13	0.0243	0.0472	0.0112	0.0202	0.0055
YDL099W	BUG1	1.15	0.09	1.22	0.13	0.0220	0.0174	0.0048	0.0131	0.0038
YDL100C	GET3	0.91	0.05	0.88	0.02	0.0005	0.0172	0.0048	0.0003	0.0002
YDL101C	DUN1	0.61	0.09	0.82	0.08	0.0002	0.0013	0.0006	0.0086	0.0027
YDL102W	POL3	0.44	0.07	0.58	0.07	0.0001	0.0002	0.0002	0.0006	0.0003
YDL103C	QRI1	1.13	0.09	1.24	0.09	0.0032	0.0298	0.0076	0.0026	0.0010
YDL106C	PHO2	0.95	0.03	1.10	0.06	0.0084	0.0143	0.0041	0.0201	0.0054
YDL108W	KIN28	0.77	0.10	1.19	0.19	0.0012	0.0117	0.0035	0.0955	0.0207
YDL110C	TMA17	7.64	1.22	10.62	1.41	0.0000	0.0000	0.0000	0.0000	0.0000
YDL111C	RRP42	0.67	0.10	0.70	0.07	0.0027	0.0029	0.0011	0.0018	0.0007
YDL112W	TRM3	0.63	0.06	0.68	0.05	0.0005	0.0003	0.0002	0.0004	0.0003
YDL113C	ATG20	1.27	0.10	2.00	0.23	0.0003	0.0032	0.0012	0.0002	0.0002
YDL116W	NUP84	0.77	0.07	0.88	0.06	0.0006	0.0024	0.0010	0.0170	0.0047
YDL117W	CYK3	0.49	0.08	0.36	0.06	0.0001	0.0006	0.0003	0.0002	0.0002
YDL119C	YDL119C	1.53	0.10	1.96	0.40	0.0002	0.0001	0.0001	0.0019	0.0008
YDL120W	YFH1	0.97	0.09	1.58	0.07	0.0000	0.4511	0.0810	0.0000	0.0000
YDL121C	YDL121C	0.49	0.05	0.63	0.09	0.0000	0.0001	0.0001	0.0020	0.0008
YDL122W	UBP1	0.80	0.06	0.94	0.07	0.0021	0.0025	0.0010	0.0917	0.0200
YDL124W	YDL124W	2.32	0.12	2.59	0.12	0.0000	0.0000	0.0000	0.0000	0.0000
YDL125C	HNT1	1.03	0.06	1.31	0.11	0.0019	0.3222	0.0605	0.0020	0.0008
YDL126C	CDC48	1.50	0.15	1.37	0.09	0.0003	0.0007	0.0004	0.0004	0.0002
YDL128W	VCX1	0.84	0.18	0.93	0.31	0.2285	0.1378	0.0286	0.4915	0.0875
YDL130W	RPP1B	0.74	0.03	0.60	0.03	0.0000	0.0001	0.0001	0.0000	0.0000
YDL130W-A	STF1	5.00	0.50	14.20	3.30	0.0000	0.0000	0.0000	0.0000	0.0000
YDL131W	LYS21	0.82	0.05	0.88	0.09	0.0018	0.0016	0.0007	0.0539	0.0126
YDL132W	CDC53	1.18	0.10	1.33	0.09	0.0013	0.0120	0.0036	0.0008	0.0004
YDL134C	PPH21	0.94	0.05	1.17	0.15	0.0005	0.0636	0.0146	0.0544	0.0127
YDL135C	RDI1	1.04	0.06	1.50	0.17	0.0005	0.3020	0.0570	0.0012	0.0006
YDL136W	RPL35B	0.71	0.08	0.60	0.04	0.0001	0.0025	0.0010	0.0001	0.0001
YDL137W	ARF2	1.58	0.34	1.80	0.26	0.0010	0.0124	0.0036	0.0009	0.0004
YDL140C	RPO21	0.99	0.06	0.87	0.06	0.0158	0.7978	0.1331	0.0096	0.0030
YDL141W	BPL1	1.03	0.12	1.28	0.18	0.0086	0.6920	0.1178	0.0215	0.0058
YDL143W	CCT4	0.78	0.10	0.71	0.10	0.0080	0.0106	0.0032	0.0047	0.0016
YDL144C	YDL144C	1.07	0.13	1.45	0.13	0.0012	0.3250	0.0609	0.0009	0.0004
YDL145C	COP1	1.12	0.11	1.08	0.08	0.0602	0.0556	0.0130	0.0827	0.0183
YDL146W	LDB17	1.31	0.07	1.38	0.18	0.0004	0.0004	0.0002	0.0063	0.0021
YDL147W	RPN5	0.96	0.10	1.06	0.07	0.0666	0.3525	0.0654	0.1417	0.0293
YDL148C	NOP14	0.57	0.07	0.48	0.03	0.0000	0.0005	0.0003	0.0000	0.0000
YDL149W	ATG9	1.77	0.49	4.18	1.51	0.0014	0.0138	0.0040	0.0015	0.0007
YDL150W	RPC53	0.50	0.07	0.57	0.10	0.0006	0.0003	0.0002	0.0021	0.0009
YDL153C	SAS10	0.44	0.10	0.37	0.05	0.0001	0.0008	0.0004	0.0001	0.0001
YDL156W	YDL156W	0.67	0.09	0.93	0.18	0.0010	0.0021	0.0009	0.4117	0.0749
YDL157C	YDL157C	0.31	0.10	0.99	0.14	0.0012	0.0008	0.0004	0.7397	0.1247
YDL160C	DHH1	0.96	0.07	0.91	0.05	0.0061	0.3070	0.0579	0.0158	0.0045
YDL160C-A	YDL160C-A	1.82	1.31	1.29	0.64	0.5643	0.3748	0.0690	0.5460	0.0959
YDL161W	ENT1	1.22	0.17	1.60	0.19	0.0015	0.0323	0.0082	0.0009	0.0004
YDL164C	CDC9	0.85	0.06	0.94	0.10	0.0017	0.0059	0.0020	0.2072	0.0410
YDL166C	FAP7	0.54	0.07	0.47	0.09	0.0002	0.0004	0.0002	0.0006	0.0003
YDL167C	NRP1	0.18	0.03	0.08	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YDL168W	SFA1	0.83	0.14	1.23	0.13	0.0021	0.0435	0.0105	0.0129	0.0038
YDL171C	GLT1	0.86	0.08	0.88	0.06	0.0223	0.0190	0.0052	0.0151	0.0043
YDL173W	PAR32	0.99	0.21	1.04	0.16	0.5928	0.7487	0.1260	0.7269	0.1229
YDL174C	DLD1	1.03	0.24	2.20	0.07	0.0000	0.9256	0.1509	0.0000	0.0000
YDL175C	AIR2	0.76	0.59	0.71	0.50	0.2592	0.1674	0.0339	0.1834	0.0368
YDL178W	DLD2	1.41	0.23	1.63	0.22	0.0022	0.0099	0.0030	0.0013	0.0006
YDL180W	YDL180W	0.65	0.26	1.01	0.21	0.0113	0.0567	0.0132	0.9409	0.1529
YDL181W	INH1	3.71	0.63	13.16	1.59	0.0000	0.0001	0.0001	0.0000	0.0000
YDL182W	LYS20	0.46	0.03	0.35	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YDL183C	YDL183C	1.88	2.25	9.43	10.820.9430	0.1532	0.1647	0.0335
YDL185W	VMA1	1.16	0.12	1.05	0.09	0.0572	0.0337	0.0085	0.2601	0.0501
YDL188C	PPH22	1.04	0.03	1.14	0.07	0.0086	0.0468	0.0112	0.0064	0.0021
YDL189W	RBS1	0.63	0.06	0.38	0.06	0.0003	0.0006	0.0003	0.0002	0.0001
YDL190C	UFD2	1.36	0.10	1.26	0.10	0.0008	0.0009	0.0004	0.0029	0.0011
