Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
YOR301W	RAX1	0.55	0.11	0.67	0.11	0.0001	0.0017	0.0007	0.0065	0.0021
YOR303W	CPA1	0.17	0.02	0.07	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YOR304W	ISW2	0.83	0.02	0.80	0.06	0.0002	0.0001	0.0001	0.0029	0.0011
YOR308C	SNU66	0.83	0.17	1.14	0.37	0.0045	0.1022	0.0220	0.6159	0.1063
YOR310C	NOP58	0.60	0.05	0.51	0.05	0.0001	0.0002	0.0001	0.0001	0.0001
YOR311C	DGK1	0.67	0.05	0.69	0.02	0.0000	0.0002	0.0001	0.0000	0.0000
YOR316C	COT1	0.79	0.08	1.59	0.10	0.0000	0.0058	0.0020	0.0001	0.0001
YOR317W	FAA1	1.93	0.18	2.19	0.25	0.0001	0.0001	0.0001	0.0001	0.0001
YOR319W	HSH49	0.79	0.05	0.92	0.07	0.0010	0.0008	0.0004	0.0526	0.0123
YOR320C	GNT1	1.00	0.13	1.37	0.29	0.0000	0.8707	0.1433	0.0315	0.0080
YOR321W	PMT3	1.10	0.19	1.09	0.15	0.3333	0.3652	0.0674	0.2728	0.0522
YOR322C	LDB19	0.14	0.03	0.56	0.16	0.0001	0.0000	0.0001	0.0073	0.0023
YOR323C	PRO2	0.92	0.07	0.87	0.08	0.0288	0.0725	0.0164	0.0181	0.0050
YOR326W	MYO2	1.06	0.03	1.03	0.07	0.0173	0.0114	0.0034	0.3644	0.0673
YOR327C	SNC2	0.91	0.10	1.20	0.18	0.0022	0.0962	0.0209	0.0573	0.0133
YOR332W	VMA4	1.18	0.16	1.10	0.11	0.0958	0.0582	0.0135	0.1383	0.0287
YOR335C	ALA1	0.75	0.07	0.60	0.03	0.0001	0.0014	0.0006	0.0000	0.0000
YOR336W	KRE5	1.30	0.05	1.17	0.16	0.0000	0.0001	0.0001	0.0689	0.0156
YOR337W	TEA1	0.15	0.08	0.10	0.06	0.0013	0.0064	0.0021	0.0009	0.0005
YOR340C	RPA43	0.44	0.02	0.41	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YOR341W	RPA190	0.47	0.01	0.41	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YOR347C	PYK2	2.99	0.30	3.15	0.42	0.0000	0.0000	0.0000	0.0000	0.0001
